Modelo,Resample (ms),Seconds to predict (s),Forecast steps,Timesteps,Epochs,Units (min-max:step),Batchsize,Feito?,ExpID,__block__,RunOrder
LSTM,40,5.0,125,60,150,16-64:16,1024,OK,E191,40|5.0|LSTM,254
LSTM,40,5.0,125,60,20,16-64:16,1024,OK,E182,40|5.0|LSTM,255
LSTM,40,5.0,125,120,20,32-96:32,512,OK,E202,40|5.0|LSTM,256
LSTM,40,5.0,125,120,20,16-64:16,1024,OK,E200,40|5.0|LSTM,257
LSTM,40,5.0,125,120,20,16-64:16,2048,OK,E201,40|5.0|LSTM,258
LSTM,40,5.0,125,120,20,32-96:32,1024,OK,E203,40|5.0|LSTM,259
LSTM,40,5.0,125,120,150,64-256:64,512,OK,E214,40|5.0|LSTM,260
LSTM,40,5.0,125,60,20,16-64:16,512,OK,E181,40|5.0|LSTM,261
LSTM,40,5.0,125,60,20,16-64:16,2048,OK,E183,40|5.0|LSTM,262
LSTM,40,5.0,125,60,20,32-96:32,2048,OK,E186,40|5.0|LSTM,263
LSTM,40,5.0,125,120,150,64-256:64,2048,OK,E216,40|5.0|LSTM,264
LSTM,40,5.0,125,120,20,64-256:64,512,OK,E205,40|5.0|LSTM,265
LSTM,40,5.0,125,60,20,64-256:64,512,OK,E187,40|5.0|LSTM,266
LSTM,40,5.0,125,60,150,16-64:16,512,OK,E190,40|5.0|LSTM,267
LSTM,40,5.0,125,60,150,32-96:32,512,OK,E193,40|5.0|LSTM,268
LSTM,40,5.0,125,120,20,64-256:64,1024,OK,E206,40|5.0|LSTM,269
LSTM,40,5.0,125,120,150,32-96:32,512,OK,E211,40|5.0|LSTM,270
LSTM,40,5.0,125,120,150,16-64:16,512,OK,E208,40|5.0|LSTM,271
LSTM,40,5.0,125,60,150,64-256:64,2048,OK,E198,40|5.0|LSTM,272
LSTM,40,5.0,125,60,20,32-96:32,1024,OK,E185,40|5.0|LSTM,273
LSTM,40,5.0,125,60,20,64-256:64,2048,OK,E189,40|5.0|LSTM,274
LSTM,40,5.0,125,60,150,32-96:32,2048,OK,E195,40|5.0|LSTM,275
LSTM,40,5.0,125,60,150,16-64:16,2048,OK,E192,40|5.0|LSTM,276
LSTM,40,5.0,125,120,150,16-64:16,2048,OK,E210,40|5.0|LSTM,277
LSTM,40,5.0,125,60,20,32-96:32,512,OK,E184,40|5.0|LSTM,278
LSTM,40,5.0,125,60,20,64-256:64,1024,OK,E188,40|5.0|LSTM,279
LSTM,40,5.0,125,120,150,32-96:32,1024,OK,E212,40|5.0|LSTM,280
LSTM,40,5.0,125,120,150,64-256:64,1024,OK,E215,40|5.0|LSTM,281
LSTM,40,5.0,125,120,20,64-256:64,2048,OK,E207,40|5.0|LSTM,282
LSTM,40,5.0,125,60,150,64-256:64,1024,OK,E197,40|5.0|LSTM,283
LSTM,40,5.0,125,60,150,32-96:32,1024,OK,E194,40|5.0|LSTM,284
LSTM,40,5.0,125,120,150,16-64:16,1024,OK,E209,40|5.0|LSTM,285
LSTM,40,5.0,125,120,20,16-64:16,512,OK,E199,40|5.0|LSTM,286
LSTM,40,5.0,125,60,150,64-256:64,512,OK,E196,40|5.0|LSTM,287
LSTM,40,5.0,125,120,20,32-96:32,2048,OK,E204,40|5.0|LSTM,288
